Date,Stock_A,Stock_B,Stock_C
2024-01-01,100.00,50.00,75.00
2024-01-02,101.50,49.75,76.20
2024-01-03,102.30,50.20,75.80
2024-01-04,103.10,51.00,77.50
2024-01-05,102.80,50.50,77.00
2024-01-06,104.20,51.30,78.20
2024-01-07,105.00,50.90,78.80
2024-01-08,104.50,51.50,77.90
2024-01-09,106.20,52.00,79.50
2024-01-10,107.00,51.80,80.00
2024-01-11,106.50,52.30,79.30
2024-01-12,108.00,53.00,80.80
2024-01-13,109.20,52.50,81.50
2024-01-14,108.80,53.20,80.90
2024-01-15,110.00,54.00,82.00
2024-01-16,111.50,53.50,83.00
2024-01-17,110.80,54.30,82.30
2024-01-18,112.00,55.00,83.80
2024-01-19,113.50,54.50,84.50
2024-01-20,112.80,55.20,83.90
2024-01-21,114.00,56.00,85.00
2024-01-22,115.20,55.50,86.20
2024-01-23,114.50,56.30,85.50
2024-01-24,116.00,57.00,87.00
2024-01-25,117.50,56.50,88.00
2024-01-26,116.80,57.20,87.30
2024-01-27,118.00,58.00,88.50
2024-01-28,119.50,57.50,89.80
2024-01-29,118.80,58.30,89.00
2024-01-30,120.00,59.00,90.00
2024-01-31,121.50,58.50,91.20
2024-02-01,120.80,59.20,90.50
2024-02-02,122.00,60.00,92.00
2024-02-03,123.50,59.50,93.00
2024-02-04,122.80,60.30,92.30
2024-02-05,124.00,61.00,93.50
2024-02-06,125.50,60.50,94.80
2024-02-07,124.80,61.30,94.00
2024-02-08,126.00,62.00,95.00
2024-02-09,127.50,61.50,96.50
2024-02-10,126.80,62.30,95.80
2024-02-11,128.00,63.00,97.00
2024-02-12,129.50,62.50,98.00
2024-02-13,128.80,63.30,97.30
2024-02-14,130.00,64.00,98.50
2024-02-15,131.50,63.50,100.00
2024-02-16,130.80,64.30,99.20
2024-02-17,132.00,65.00,100.50
2024-02-18,133.50,64.50,101.80
2024-02-19,132.80,65.30,101.00
2024-02-20,134.00,66.00,102.00
2024-02-21,135.50,65.50,103.50
2024-02-22,134.80,66.30,102.80
2024-02-23,136.00,67.00,104.00
2024-02-24,137.50,66.50,105.20
2024-02-25,136.80,67.30,104.50
2024-02-26,138.00,68.00,106.00
2024-02-27,139.50,67.50,107.00
2024-02-28,138.80,68.30,106.30
2024-02-29,140.00,69.00,107.50
2024-03-01,141.50,68.50,109.00
2024-03-02,140.80,69.30,108.20
2024-03-03,142.00,70.00,109.50
2024-03-04,143.50,69.50,110.80
2024-03-05,142.80,70.30,110.00
2024-03-06,144.00,71.00,111.00
2024-03-07,145.50,70.50,112.50
2024-03-08,144.80,71.30,111.80
2024-03-09,146.00,72.00,113.00
2024-03-10,147.50,71.50,114.20
2024-03-11,146.80,72.30,113.50
2024-03-12,148.00,73.00,115.00
2024-03-13,149.50,72.50,116.00
2024-03-14,148.80,73.30,115.30
2024-03-15,150.00,74.00,116.50
2024-03-16,151.50,73.50,118.00
2024-03-17,150.80,74.30,117.20
2024-03-18,152.00,75.00,118.50
2024-03-19,153.50,74.50,119.80
2024-03-20,152.80,75.30,119.00
2024-03-21,154.00,76.00,120.00
2024-03-22,155.50,75.50,121.50
2024-03-23,154.80,76.30,120.80
2024-03-24,156.00,77.00,122.00
2024-03-25,157.50,76.50,123.20
2024-03-26,156.80,77.30,122.50
2024-03-27,158.00,78.00,124.00
2024-03-28,159.50,77.50,125.00
2024-03-29,158.80,78.30,124.30
2024-03-30,160.00,79.00,125.50
2024-03-31,161.50,78.50,127.00
2024-04-01,160.80,79.30,126.20
2024-04-02,162.00,80.00,127.50
2024-04-03,163.50,79.50,128.80
2024-04-04,162.80,80.30,128.00
2024-04-05,164.00,81.00,129.00
2024-04-06,165.50,80.50,130.50
2024-04-07,164.80,81.30,129.80
2024-04-08,166.00,82.00,131.00
2024-04-09,167.50,81.50,132.20
2024-04-10,166.80,82.30,131.50
2024-04-11,168.00,83.00,133.00
2024-04-12,169.50,82.50,134.00
2024-04-13,168.80,83.30,133.30
2024-04-14,170.00,84.00,134.50
2024-04-15,171.50,83.50,136.00
2024-04-16,170.80,84.30,135.20
2024-04-17,172.00,85.00,136.50
2024-04-18,173.50,84.50,137.80
2024-04-19,172.80,85.30,137.00
2024-04-20,174.00,86.00,138.00
